userId,reviews
1,9254
2,7515
3,5646
4,5520
5,5491
6,5447
7,5356
8,5330
9,5169
10,4988
11,4785
12,4707
13,4524
14,4354
15,4236
16,4182
17,4101
18,4094
19,4093
20,3958
21,3908
22,3864
23,3804
24,3742
25,3739
26,3662
27,3650
28,3637
29,3609
30,3602
31,3589
32,3541
33,3508
34,3488
35,3452
36,3449
37,3426
38,3419
39,3397
40,3383
41,3379
42,3291
43,3282
44,3187
45,3184
46,3171
47,3145
48,3120
49,3111
50,3101
51,3101
52,3084
53,3069
54,3037
55,3027
56,3014
57,2966
58,2965
59,2914
60,2909
61,2909
62,2898
63,2886
64,2879
65,2877
66,2856
67,2844
68,2837
69,2821
70,2806
71,2801
72,2797
73,2786
74,2780
75,2766
76,2763
77,2759
78,2753
79,2752
80,2744
81,2740
82,2736
83,2733
84,2721
85,2711
86,2709
87,2707
88,2697
89,2691
90,2685
91,2670
92,2654
93,2651
94,2646
95,2645
96,2644
97,2639
98,2608
99,2608
100,2608
101,2595
102,2594
103,2589
104,2576
105,2575
106,2561
107,2558
108,2555
109,2553
110,2547
111,2545
112,2540
113,2534
114,2531
115,2529
116,2517
117,2514
118,2491
119,2488
120,2483
121,2478
122,2477
123,2464
124,2458
125,2456
126,2448
127,2426
128,2419
129,2415
130,2411
131,2400
132,2395
133,2394
134,2391
135,2384
136,2382
137,2374
138,2369
139,2368
140,2358
141,2351
142,2345
143,2339
144,2337
145,2328
146,2328
147,2321
148,2321
149,2320
150,2315
151,2313
152,2310
153,2310
154,2306
155,2305
156,2300
157,2298
158,2298
159,2289
160,2285
161,2278
162,2276
163,2268
164,2265
165,2259
166,2257
167,2248
168,2244
169,2243
170,2241
171,2228
172,2222
173,2219
174,2218
175,2216
176,2216
177,2212
178,2207
179,2206
180,2204
181,2200
182,2199
183,2195
184,2192
185,2191
186,2189
187,2189
188,2187
189,2183
190,2183
191,2179
192,2174
193,2171
194,2168
195,2167
196,2165
197,2164
198,2161
199,2159
200,2159
201,2158
202,2157
203,2156
204,2156
205,2153
206,2153
207,2147
208,2144
209,2138
210,2134
211,2131
212,2128
213,2124
214,2121
215,2120
216,2113
217,2108
218,2106
219,2101
220,2100
221,2099
222,2099
223,2097
224,2090
225,2090
226,2086
227,2080
228,2080
229,2079
230,2079
231,2075
232,2068
233,2063
234,2063
235,2058
236,2055
237,2052
238,2050
239,2039
240,2037
241,2034
242,2030
243,2029
244,2025
245,2024
246,2024
247,2024
248,2018
249,2014
250,2013
251,2006
252,2004
253,2004
254,2002
255,2001
256,1998
257,1994
258,1993
259,1989
260,1988
261,1985
262,1984
263,1983
264,1981
265,1978
266,1973
267,1969
268,1960
269,1957
270,1956
271,1956
272,1956
273,1954
274,1951
275,1951
276,1948
277,1948
278,1948
279,1947
280,1944
281,1941
282,1938
283,1934
284,1933
285,1932
286,1931
287,1931
288,1929
289,1928
290,1923
291,1920
292,1920
293,1919
294,1918
295,1914
296,1913
297,1913
298,1913
299,1908
300,1904
301,1897
302,1896
303,1893
304,1888
305,1888
306,1876
307,1874
308,1868
309,1866
310,1865
311,1865
312,1864
313,1862
314,1860
315,1859
316,1859
317,1858
318,1852
319,1850
320,1848
321,1846
322,1845
323,1844
324,1843
325,1843
326,1840
327,1838
328,1835
329,1830
330,1822
331,1821
332,1817
333,1814
334,1813
335,1811
336,1806
337,1802
338,1799
339,1798
340,1791
341,1789
342,1789
343,1789
344,1786
