min support - 0.1 
min confidence - 0.2 
max length - 5.0
{110} -> {1} (conf: 0.388, supp: 0.118, lift: 1.432, conv: 1.191)
{1} -> {110} (conf: 0.437, supp: 0.118, lift: 1.432, conv: 1.234)
{1196} -> {1} (conf: 0.455, supp: 0.126, lift: 1.678, conv: 1.337)
{1} -> {1196} (conf: 0.465, supp: 0.126, lift: 1.678, conv: 1.351)
{1198} -> {1} (conf: 0.458, supp: 0.126, lift: 1.689, conv: 1.344)
{1} -> {1198} (conf: 0.463, supp: 0.126, lift: 1.689, conv: 1.352)
{1210} -> {1} (conf: 0.479, supp: 0.127, lift: 1.767, conv: 1.399)
{1} -> {1210} (conf: 0.468, supp: 0.127, lift: 1.767, conv: 1.382)
{1270} -> {1} (conf: 0.518, supp: 0.120, lift: 1.913, conv: 1.513)
{1} -> {1270} (conf: 0.442, supp: 0.120, lift: 1.913, conv: 1.377)
{150} -> {1} (conf: 0.438, supp: 0.110, lift: 1.618, conv: 1.298)
{1} -> {150} (conf: 0.406, supp: 0.110, lift: 1.618, conv: 1.261)
{2571} -> {1} (conf: 0.408, supp: 0.130, lift: 1.505, conv: 1.231)
{1} -> {2571} (conf: 0.479, supp: 0.130, lift: 1.505, conv: 1.308)
{260} -> {1} (conf: 0.456, supp: 0.150, lift: 1.682, conv: 1.340)
{1} -> {260} (conf: 0.554, supp: 0.150, lift: 1.682, conv: 1.504)
{2762} -> {1} (conf: 0.456, supp: 0.108, lift: 1.681, conv: 1.339)
{1} -> {2762} (conf: 0.399, supp: 0.108, lift: 1.681, conv: 1.269)
{2858} -> {1} (conf: 0.377, supp: 0.105, lift: 1.391, conv: 1.170)
{1} -> {2858} (conf: 0.386, supp: 0.105, lift: 1.391, conv: 1.177)
{296} -> {1} (conf: 0.361, supp: 0.144, lift: 1.334, conv: 1.142)
{1} -> {296} (conf: 0.533, supp: 0.144, lift: 1.334, conv: 1.285)
{318} -> {1} (conf: 0.359, supp: 0.151, lift: 1.324, conv: 1.137)
{1} -> {318} (conf: 0.557, supp: 0.151, lift: 1.324, conv: 1.308)
{32} -> {1} (conf: 0.431, supp: 0.104, lift: 1.589, conv: 1.280)
{1} -> {32} (conf: 0.384, supp: 0.104, lift: 1.589, conv: 1.231)
{356} -> {1} (conf: 0.397, supp: 0.148, lift: 1.465, conv: 1.209)
{1} -> {356} (conf: 0.547, supp: 0.148, lift: 1.465, conv: 1.384)
{364} -> {1} (conf: 0.540, supp: 0.103, lift: 1.994, conv: 1.586)
{1} -> {364} (conf: 0.382, supp: 0.103, lift: 1.994, conv: 1.308)
{457} -> {1} (conf: 0.400, supp: 0.113, lift: 1.477, conv: 1.215)
{1} -> {457} (conf: 0.416, supp: 0.113, lift: 1.477, conv: 1.230)
